Genus,mean_relative_abundance,rank
Kapabacteriales Genus,1.241158343668907e-4,147
Citrobacter,1.2354668749349346e-4,148
Hydrogenophaga,1.2007918485692888e-4,149
Pseudorhodoplanes,1.1982780931638034e-4,150
Neochlamydia,1.1981553363564865e-4,151
Terrimonas,1.1831939546509518e-4,152
Larkinella,1.1768928354049766e-4,153
Bordetella,1.1584289797530417e-4,154
Uliginosibacterium,1.1233446534202523e-4,155
Candidatus Protochlamydia,1.0629500697792626e-4,156
Candidatus Berkiella,1.0512573846182685e-4,157
Parachlamydiaceae Genus,1.0430121917430474e-4,158
mle1-27 Genus,9.98260389158302e-5,159
Variovorax,9.936879604656046e-5,160
Paracoccus,9.692885408842754e-5,161
Roseicella,9.593716812546457e-5,162
Sphingomonas,9.281155012274471e-5,163
Exiguobacterium,8.7205237460733e-5,164
Nevskiaceae Genus,8.667124138047677e-5,165
WY65,8.461238063564088e-5,166
Permianibacter,8.26654450811717e-5,167
Chitinibacter,8.147215055833981e-5,168
OLB12,7.874583729355558e-5,169
AKYH767 Genus,7.54382518787747e-5,170
Obscuribacteraceae Genus,7.234866947414191e-5,171
Oleiharenicola,7.144612765883793e-5,172
Dechlorobacter,7.130803342779177e-5,173
Rhizorhapis,7.122621554681393e-5,174
Chryseobacterium,7.097944751861312e-5,175
Ruminiclostridium,7.0403101300047e-5,176
Hyphomicrobiales Genus,6.933959319872112e-5,177
Mesorhizobium,6.930476484165431e-5,178
Lysobacter,6.86093620030332e-5,179
Microtrichaceae Genus,6.636374834751594e-5,180
Nordella,6.426748126087969e-5,181
P3OB-42,6.290252241474372e-5,182
Pirellulaceae Genus,6.233562861084085e-5,183
Chitinimonas,6.15654731898632e-5,184
Sphingopyxis,6.001666229531147e-5,185
MBNT15 Genus,5.8486127615922904e-5,186
Cytophaga,5.713545003379145e-5,187
Defluviimonas,5.601769969538748e-5,188
Phenylobacterium,5.348956217455077e-5,189
Piscinibacter,5.1990064521233105e-5,190
Eremiobacteria Genus,5.047722124933166e-5,191
Pseudolysobacter,4.9179760136730176e-5,192
Bacillus,4.8903076227318304e-5,193
Peptostreptococcaceae Genus,4.6092370464832915e-5,194
Kineosporiaceae Genus,4.518684622859101e-5,195
Thermus,4.504231740038296e-5,196
NB1-j Genus,4.3846595013396125e-5,197
Unknown Family Genus,4.253455744077673e-5,198
Phaselicystis,4.177012334563849e-5,199
Gemmatimonadaceae Genus,4.157316092130007e-5,200
Burkholderiales Genus,4.131002649567234e-5,201
Rhodovarius,4.120147619887422e-5,202
Opitutaceae Genus,4.0563502426737046e-5,203
Holosporaceae Genus,4.04087154133416e-5,204
CM1G08,3.6252739263886555e-5,205
Pyrinomonadaceae Genus,3.6230660360190504e-5,206
Spirosomataceae Genus,3.590587971157816e-5,207
Nannocystis,3.504309195147e-5,208
Methylibium,3.382485986994244e-5,209
Frankiales Genus,3.2561447050105595e-5,210
Gaiellales Genus,3.1887363060517923e-5,211
A21b Genus,3.125982938320805e-5,212
Rheinheimera,2.9661799777531226e-5,213
Blfdi19 Genus,2.9240318801812865e-5,214
TM7a,2.9039575091723467e-5,215
DEV114,2.8299327606724485e-5,216
Sphingomonadaceae Genus,2.7888496671508078e-5,217
Shinella,2.7600927661843033e-5,218
Methylorubrum,2.5669040704637883e-5,219
TRA3-20 Genus,2.5297721975612753e-5,220
Blastomonas,2.526681282865868e-5,221
Anaerotaenia,2.4843374605143555e-5,222
Brevitalea,2.433307982632894e-5,223
Romboutsia,2.4154647308542274e-5,224
Candidatus Paracaedibacter,2.3462538005858915e-5,225
Ga0077536 Genus,2.3002790536131996e-5,226
Opitutus,2.289294514506523e-5,227
Chitinophagales Genus,2.222713541358386e-5,228
Dietzia,2.195378610616469e-5,229
Fluviicoccus,2.1485882600234812e-5,230
Polyangiia Genus,2.070792364825298e-5,231
Agrobacterium,2.0388351482026185e-5,232
