Metric,HistoryLevelNum,contrast,estimate,SE,df,z_or_t_ratio,p.value,p_fdr_bh,asymp.LCL,asymp.UCL
Shannon diversity,0,Parasite1 / Parasite0,0.8850795702450827,0.2611309796363716,Inf,-0.4137712932573454,0.6790416093813265,0.9448393752199858,0.496416946524787,1.578040095426326
Shannon diversity,1,Parasite1 / Parasite0,0.9298480903474512,0.1672489139737567,Inf,-0.40437701977189094,0.6859354962146569,0.9448393752199858,0.6535954224254208,1.3228634128346572
Shannon diversity,2,Parasite1 / Parasite0,0.9768810626635356,0.33025036610038916,Inf,-0.06918875330151149,0.9448393752199858,0.9448393752199858,0.503592564220273,1.8949775639920412
Simpson diversity,0,Parasite1 / Parasite0,0.7684607487266693,0.2381865436840803,Inf,-0.849696506575771,0.3954938411786153,0.708657231648322,0.41859053770636906,1.4107627123377469
Simpson diversity,1,Parasite1 / Parasite0,0.8729675528659057,0.1650601818214122,Inf,-0.7185176737662938,0.4724381544322146,0.708657231648322,0.6026337135543159,1.2645697232270787
Simpson diversity,2,Parasite1 / Parasite0,0.9916867577419317,0.35295294765928065,Inf,-0.02345522585898891,0.981287153237384,0.981287153237384,0.4936531377727311,1.9921733505388224
Observed richness,0,Parasite1 / Parasite0,1.1547193532690407,0.3691974270778465,Inf,0.44993499733235653,0.6527573116899568,0.9759472692697027,0.6170530543478641,2.160878672293841
Observed richness,1,Parasite1 / Parasite0,1.0803940494284499,0.20779036649803106,Inf,0.4020512288202892,0.6876463248222926,0.9759472692697027,0.7410918298728199,1.5750427342327036
Observed richness,2,Parasite1 / Parasite0,1.0108528091573807,0.3619044280121996,Inf,0.030150194769119586,0.9759472692697027,0.9759472692697027,0.5011199210909487,2.0390795870913228
