Tank.ID,Treatment,Taxon,log2_abund,percent_mortality,prevalence,rho,p_value,q_value,TaxonFacet
7,A- T+ P-,Shewanella,-6.75409673876048,33.3,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
8,A- T+ P-,Cetobacterium,-8.034534435726082,46.7,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
8,A- T+ P-,Culicoidibacter,-11.299880466144721,46.7,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
8,A- T+ P-,Flavobacterium,-9.55305907919888,46.7,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
8,A- T+ P-,Shewanella,-11.120530670497036,46.7,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
9,A- T+ P-,Cetobacterium,-7.360682232110569,46.7,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
9,A- T+ P-,Culicoidibacter,-10.950355481166518,46.7,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
9,A- T+ P-,Flavobacterium,-13.743181685535006,46.7,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
9,A- T+ P-,Shewanella,-9.119028391295641,46.7,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
10,A- T+ P+,Cetobacterium,-10.042259259354383,60,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
10,A- T+ P+,Culicoidibacter,-11.059206569505386,60,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
10,A- T+ P+,Flavobacterium,-9.881598595689765,60,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
10,A- T+ P+,Shewanella,-10.911778544386678,60,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
11,A- T+ P+,Cetobacterium,-7.152276215603593,0,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
11,A- T+ P+,Culicoidibacter,-7.195098304299753,0,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
11,A- T+ P+,Flavobacterium,-7.349527366423022,0,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
11,A- T+ P+,Shewanella,-4.895680009914804,0,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
12,A- T+ P+,Cetobacterium,-11.959175540709708,26.7,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
12,A- T+ P+,Culicoidibacter,-10.888233666932923,26.7,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
12,A- T+ P+,Flavobacterium,-10.91912163313378,26.7,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
12,A- T+ P+,Shewanella,-7.467347887142339,26.7,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
13,A+ T- P-,Cetobacterium,-13.798189895868058,60,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
13,A+ T- P-,Culicoidibacter,-11.210716890481706,60,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
13,A+ T- P-,Flavobacterium,-12.124838028542873,60,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
13,A+ T- P-,Shewanella,-12.410954662768694,60,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
14,A+ T- P-,Cetobacterium,-6.89900420142555,26.7,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
14,A+ T- P-,Culicoidibacter,-4.543423986610169,26.7,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
14,A+ T- P-,Flavobacterium,-8.90168919162814,26.7,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
14,A+ T- P-,Shewanella,-7.935691190932567,26.7,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
15,A+ T- P-,Cetobacterium,-4.905289714902433,6.7,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
15,A+ T- P-,Culicoidibacter,-1.8536440503645537,6.7,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
15,A+ T- P-,Flavobacterium,-13.090667204899495,6.7,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
