"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Dechloromonas"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.10983510441495	0	0.642296998322024	0.0840033288158092	0.462490283887255	0.160950098379481	0.410700251037298	NA	"prevalence"	235	192
"Chryseotalea"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.313234249549743	-0.356171319365613	0.37420168280245	0.0923227328692721	0.470014314064808	0.176121978734093	0.434434214210764	NA	"abundance"	235	139
"Gemmata"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.868867995797294	-0.356171319365613	0.296546182775292	0.0933590075882153	0.470014314064808	0.0933590075882153	0.314025752796724	NA	"abundance"	235	116
"Gemmataceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.840589770546957	0	0.513902290684818	0.101902473564915	0.479927778725085	0.193420833011182	0.447285676338359	NA	"prevalence"	235	157
"Tundrisphaera"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.893522975943554	0	0.546151267575853	0.101832114239559	0.479927778725085	0.19329444898862	0.447285676338359	NA	"prevalence"	235	168
"Aquihabitans"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.768372058880821	-0.356171319365613	0.241997680983614	0.116720740153269	0.51640085037507	0.116720740153269	0.332205183513151	NA	"abundance"	235	141
"Haliangiaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.790391577919454	0	0.499546431000977	0.113599710734502	0.51640085037507	0.214294527190042	0.480539242789791	NA	"prevalence"	235	103
"Bdellovibrio"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.02014058199388	-0.356171319365613	0.422398156765104	0.138498842316507	0.531545417925372	0.257815755310002	0.527631363407795	NA	"abundance"	235	96
"Pseudomonas"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.130949792068064	-0.356171319365613	0.307954288206525	0.132620242216872	0.531545417925372	0.132620242216872	0.363477700890688	NA	"abundance"	235	235
"SH-PL14"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.119143564239861	-0.356171319365613	0.305459066501471	0.141988159582805	0.531545417925372	0.263815681703897	0.527631363407795	NA	"abundance"	235	139
