"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Hyphomicrobiales Incertae Sedis Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.88513375437874	0	0.295289048633283	0.00272189248450183	0.0145167599173431	0.00543637627030648	0.0154727632308723	NA	"prevalence"	235	168
"Rhodocyclaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	6.2171130475478	0	2.10464026346573	0.00313681248348415	0.0161321784864899	0.00313681248348415	0.0109355013342282	NA	"prevalence"	235	66
"Devosia"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.80375420247259	0	0.273285616752555	0.00327072598265872	0.0162408462587192	0.0065307543168638	0.0178991044239971	NA	"prevalence"	235	97
"Paenirhodobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.36928848111688	-0.511589220750174	0.262817462742651	0.00408656179983136	0.0196154966391905	0.00408656179983136	0.0126002322161467	NA	"abundance"	235	188
"Gemmobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.21500119443352	-0.511589220750174	0.212662113303497	0.0053600538023566	0.0245365258447908	0.0053600538023566	0.0154727632308723	NA	"abundance"	235	194
"Phreatobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.36931873571675	-0.511589220750174	0.274933678004575	0.00558802028909022	0.0245365258447908	0.0111448146074292	0.0284977204144776	NA	"abundance"	235	228
"Pseudobdellovibrionaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.488656279650304	-0.511589220750174	0.330482953279185	0.00579334638002005	0.0245365258447908	0.0115531298977612	0.0284977204144776	NA	"abundance"	235	150
"Culicoidibacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.64985505810945	-0.511589220750174	0.405808168884859	0.00818582485308372	0.0318583453741637	0.0163046419776421	0.0365619244347126	NA	"abundance"	235	228
"Emticicia"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.1985889445686	-0.511589220750174	0.611273677049042	0.00803411003935683	0.0318583453741637	0.0160036731545892	0.0365619244347126	NA	"abundance"	235	69
"Rhizobiaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.700780680807803	0	0.26669176225173	0.00859692780645678	0.0325778316876257	0.0171199484452041	0.0372610642630913	NA	"prevalence"	235	125
"Gammaproteobacteria Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.41848116407789	-0.511589220750174	0.328509693270367	0.0113497583402202	0.0419068000254285	0.0113497583402202	0.0284977204144776	NA	"abundance"	235	204
