"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Nitrospira"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0117372170084255	-0.00163333513177576	0.012340501335928	0.288485470844893	0.658107480364912	0.0210079979454799	0.0818206235771324	NA	"abundance"	235	58
"Aquabacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0117739108727487	-0.00163333513177576	0.0140365979930967	0.354618354947802	0.729215208765902	0.0259730239408482	0.0915239891248935	NA	"abundance"	235	80
"Bdellovibrio"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0147049205166191	-0.00163333513177576	0.014255626709389	0.380686608170935	0.731319010433639	0.01084370438356	0.0472020073166728	NA	"abundance"	235	96
"Nitrosomonas"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0121910587447182	-0.00163333513177576	0.0123523271255532	0.411985559841477	0.751873646710696	0.00211637522856572	0.0174013074348737	NA	"abundance"	235	64
"Acinetobacter"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0127552438343668	-0.00163333513177576	0.0213419170987361	0.507350520481156	0.805143217285312	0.000696138896837414	0.00858571306099477	NA	"abundance"	235	136
"Fluviicola"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0096249205244848	-0.00163333513177576	0.0167746925697249	0.513962141047696	0.806865296698533	0.0029553785851536	0.0198263877213249	NA	"abundance"	235	138
"Telmatocola"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.00430236034296519	-0.00163333513177576	0.0141734681629668	0.679199496023431	0.885385057316258	0.0252260259346959	0.0915239891248935	NA	"abundance"	235	61
"Saprospiraceae Genus"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.00575642218934611	-0.00163333513177576	0.014461489230306	0.778242617876461	0.938046926232432	0.0100685447171223	0.0472020073166728	NA	"abundance"	235	61
"Rubrivivax"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.00386986385394814	-0.00163333513177576	0.00877205807794084	0.80526830576524	0.9405533811338	0.00180796168332709	0.0174013074348737	NA	"abundance"	235	118
"Rhizobiaceae Genus"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.00180327282299513	-0.00163333513177576	0.00760677975626044	0.982955173277319	0.989734174472335	0.010249049101057	0.0472020073166728	NA	"abundance"	235	125
"Flavobacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0365319926465747	0	0.00812422592705842	6.90248093842829e-06	0.00033592073900351	0.00321508990075539	0.0198263877213249	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	235	185
"Shewanella"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0450401656314623	0	0.0138593986841392	0.00115489367388489	0.0153285887624721	0.000424346929438318	0.00628033455568711	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	235	222
"Culicoidibacter"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0440169182931526	0	0.0174020958570165	0.011425666113533	0.0758248751170825	0.00295930288406801	0.0198263877213249	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	235	228
"Cetobacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0232843359199332	0	0.0103500277222529	0.024468740906047	0.123187454216651	0.00423604850910985	0.0241128915133945	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	235	211
