contrast,odds.ratio,SE,df,null,z.ratio,p.value
HistoryLevelNum0 / HistoryLevelNum1,0.3277648983411689,0.13090065382978114,Inf,1,-2.793020485573982,0.00522183848801955
HistoryLevelNum0 / HistoryLevelNum2,0.10742982858459678,0.0858092789906215,Inf,1,-2.793020485573982,0.00522183848801955
HistoryLevelNum1 / HistoryLevelNum2,0.3277648983411689,0.13090065382978114,Inf,1,-2.793020485573982,0.00522183848801955
