contrast,odds.ratio,SE,df,null,z.ratio,p.value
(A- T- P+) / (A+ T- P+),4.657432412721139,3.232169666015749,Inf,1,2.2168680151213422,0.15979267208058548
(A- T- P+) / (A- T+ P+),2.5016152864930667,1.8049179917579796,Inf,1,1.2708736465665917,0.4075472063063725
(A- T- P+) / (A+ T+ P+),3.2861372580562147,2.418690264767845,Inf,1,1.6163952781630475,0.3180266358352515
(A+ T- P+) / (A- T+ P+),0.5371232612330019,0.3631771102473539,Inf,1,-0.9192125875266521,0.536976582674645
(A+ T- P+) / (A+ T+ P+),0.705568426302995,0.4848336172593803,Inf,1,-0.5075309430030869,0.6977907059731309
(A- T+ P+) / (A+ T+ P+),1.3136061631054965,0.922782073869858,Inf,1,0.3883045020798101,0.6977907059731309
