HistoryLevel,prob,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
No prior stressors,0.12705383122519356,0.0660961796118776,Inf,0.04330236333132174,0.3188100171696657,0.5,-3.2339988475864354,0.0012206994816306251
One prior stressor,0.26865425739818827,0.07504582167411676,Inf,0.14803768841801543,0.43712295039103016,0.5,-2.6219476307868357,0.008742886433322156
Two prior stressors,0.5698101771746585,0.1286822686417856,Inf,0.32129407844145635,0.7875105686614455,0.5,0.5354223632624286,0.5923578295169414
