contrast,odds.ratio,SE,df,null,z.ratio,p.value
No prior stressors / One prior stressor,0.3962135396890504,0.27656993795339774,Inf,1,-1.3263020517149178,0.18473966753305476
No prior stressors / Two prior stressors,0.10988293027182866,0.0875133298169925,Inf,1,-2.7728215038026143,0.016671778147205267
One prior stressor / Two prior stressors,0.27733259786645637,0.18034930368463087,Inf,1,-1.9722257129773182,0.07287576841094862
