contrast,odds.ratio,SE,df,null,z.ratio,p.value
HistoryLevelNum0 / HistoryLevelNum1,1.7892461331751446,0.7001220887769923,Inf,1,1.4868454447118877,0.13705563579599683
HistoryLevelNum0 / HistoryLevelNum2,3.201401725082207,2.5053814801894774,Inf,1,1.4868454447118877,0.13705563579599683
HistoryLevelNum1 / HistoryLevelNum2,1.7892461331751446,0.7001220887769923,Inf,1,1.4868454447118877,0.13705563579599683
