HistoryLevelNum,prob,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
0,0.11585864667590269,0.05233883440608109,Inf,0.04592733953554121,0.2629265420257805,0.5,-3.977428674550381,6.966450938971563e-5
1,0.28561294261123515,0.05690452527080097,Inf,0.1879471308753516,0.4084999469663304,0.5,-3.2872541072220725,0.0010116949883500791
2,0.5495051089813213,0.11438143550741167,Inf,0.3302752578213832,0.7510617585444042,0.5,0.429973086160129,0.6672152191633989
