gene_id,TaxaID,correlation,p_value,fdr,abs_correlation,comparison_name,base_treatment,comparison_treatment
ap2a1,Flavobacterium,-0.3683077079468649,0.01598401598401598,0.09820423478960064,0.3683077079468649,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
iqgap1,Flavobacterium,-0.35890411163161445,0.01698301698301698,0.09879958378803644,0.35890411163161445,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
fbxo44.3,Flavobacterium,-0.3554476006593651,0.01698301698301698,0.09879958378803644,0.3554476006593651,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
xrcc4,Flavobacterium,-0.35128503948273676,0.01498501498501498,0.09728673388467204,0.35128503948273676,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
si:ch211-156b7.4,Flavobacterium,-0.3499256711321252,0.00999000999000999,0.09285917034994526,0.3499256711321252,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
mrps26,Flavobacterium,-0.33350653317834683,0.01098901098901099,0.09436813186813188,0.33350653317834683,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
psma5,Flavobacterium,-0.3198578952744593,0.01398601398601398,0.09728673388467204,0.3198578952744593,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
vcp,Flavobacterium,-0.31131823494842686,0.01698301698301698,0.09879958378803644,0.31131823494842686,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
zgc:113425,Flavobacterium,-0.31084422639046605,0.01298701298701298,0.09565580618212198,0.31084422639046605,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
anp32a,Flavobacterium,-0.3078533268382204,0.00599400599400599,0.08296099504890714,0.3078533268382204,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
gstm.3,Flavobacterium,-0.3032572558870634,0.01198801198801198,0.09436813186813188,0.3032572558870634,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
psmc6,Flavobacterium,-0.30068917026289066,0.01398601398601398,0.09728673388467204,0.30068917026289066,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
hmgb2a,Flavobacterium,-0.29790460290765886,0.00699300699300699,0.08509847640282422,0.29790460290765886,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
atp6v1ba,Flavobacterium,-0.2973095943188658,0.01198801198801198,0.09436813186813188,0.2973095943188658,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
prpf8,Flavobacterium,-0.2942533945123751,0.01498501498501498,0.09728673388467204,0.2942533945123751,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
