gene_id,TaxaID,correlation,p_value,fdr,abs_correlation,comparison_name,base_treatment,comparison_treatment
tpm3,Shewanella,0.7087734089496571,0.00599400599400599,0.0346925801471256,0.7087734089496571,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ftr22,Shewanella,0.706641193966623,0.00599400599400599,0.0346925801471256,0.706641193966623,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
pitpnbl,Shewanella,-0.6532766370657974,0.00999000999000999,0.04000837871805614,0.6532766370657974,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
actb1,Shewanella,0.6238421875637058,0.00299700299700299,0.02289710289710289,0.6238421875637058,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC100332293,Shewanella,-0.5091076443544795,0.00199800199800199,0.01908091908091908,0.5091076443544795,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
zgc:110425,Shewanella,0.27024430590798393,0.00599400599400599,0.0346925801471256,0.27024430590798393,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
