TaxaID,n_correlations,n_positive,n_negative,mean_correlation,mean_abs_correlation
Vampirovibrionaceae Genus,170,168,2,0.6933963166837477,0.7048023369844515
Fluviicola,167,4,163,-0.4587487408484703,0.48140782147965755
Tundrisphaera,153,0,153,-0.5455958910180069,0.5455958910180069
Flavobacterium,83,1,82,-0.25766924067506347,0.2612679239142781
Paenirhodobacter,67,2,65,-0.32803963077791365,0.36093752150514696
Vogesella,46,42,4,0.18173263837788264,0.21949475631902637
Rubrivivax,31,31,0,0.6650772621379677,0.6650772621379677
Acinetobacter,30,30,0,0.6205904523970479,0.6205904523970479
Culicoidibacter,26,25,1,0.7165621610742366,0.743728549203538
Comamonadaceae Genus,14,0,14,-0.4336167890035026,0.4336167890035026
