TaxaID,n_genes,n_positive,n_negative
Vampirovibrionaceae Genus,170,168,2
Fluviicola,167,4,163
Tundrisphaera,153,0,153
Flavobacterium,83,1,82
Paenirhodobacter,67,2,65
Vogesella,46,42,4
Rubrivivax,31,31,0
Acinetobacter,30,30,0
Culicoidibacter,26,25,1
Comamonadaceae Genus,14,0,14
