SYMBOL,ENTREZID
retsat.1,777751
mgst3b,567275
ugt1ab,406731
mtdhb,553275
adpgk,557919
cyp46a1.1,553543
snx5,406797
nutf2,449827
mapre1b,334728
gadd45gip1,402803
nfya,83915
lrba,562379
zgc:77262,402952
ezh2,768133
hnrnpdl,406701
trappc10,100334988
mtrfr,100004874
ube2d2l,335444
srcap,563456
prkag1,406440
nmt1a,323956
ube2d2,393934
cyfip1,336613
ube2l3b,321943
dnaaf5,100535063
arpc4l,445305
hdac10,327253
capza1b,474327
ecsit,569243
pargl,797792
usp14,335736
letmd1,567014
parga,559134
dynll1,406297
uba1,406335
calm3b,321808
ly75,504036
serbp1b,797732
dcp1b,568176
nsfl1c,492805
selenou1a,323739
ugt1a2,100379286
upf1,406783
cflara,373114
plch1,566479
hnrnpa0b,334222
ptpn2b,561613
tyk2,100536675
cox16,550257
marchf5l,326067
gng12a,406604
psmb12,64279
sf1,572785
psmc3,321947
psma2a,554153
LOC100149991,100149991
ftr57,100005871
calcoco2,553776
me2,445233
dnajc11a,322953
dnm1l,393896
tap1,100333043
erap2,100144556
fam98a,559900
si:dkey-58f10.10,100004976
coa7,555268
parp14rs1,791754
si:ch211-108p6.4,100001718
myo18ab,559005
dgkza,553380
dnmt3ba,321084
znf367,550421
uba7,100001302
brms1,791681
pitpnb,393894
mfn1b,393620
rnf115a,790928
tap2t,556826
dtx2,568626
dpp3,322527
cd74b,30645
dnph1,561810
LOC100007727,100007727
btr31,555877
cdk18,100150007
polb,554204
ywhae1,322060
cs,322339
ppp5c,541536
ifi27.7,558285
zgc:194906,100170839
casp22,561021
si:ch211-271e10.2,101886059
chchd6b,492522
mcm3,192323
ifi44a1,100148554
acot8,450052
si:dkey-25e12.3,678527
mfsd9,100150581
gmpr2,678545
baxb,503609
tmem14a,799515
LOC100330485,100330485
etv7,100009655
rarres3l,436896
dlc,30120
mcm6,566409
si:ch211-217k17.10,798704
LOC103911103,103911103
xkr8.4,101882552
casp10,557302
irf1b,792160
fbxo44.8,796215
mhc2daa,368878
si:dkey-58f10.13,100149772
rad9a,393176
si:ch211-284e13.9,566600
mep1a.1,553530
ifi44a8,100007523
si:ch73-106k19.4,100331397
mep1a.2,565535
si:dkey-58f10.6,564033
hspa12a.2,559237
LOC100331050,100331050
dnajc24,393424
pdzk1,337325
mhc2dhb,103911540
LOC564808,564808
si:ch211-209n20.1,100149641
ciita,100003537
e2f7,567941
nemp2,564612
si:ch211-15j1.5,100148489
si:ch211-217k17.12,559555
si:dkeyp-30d6.2,100322630
LOC100334716,100334716
gig2l,100005504
zgc:154142,555481
si:ch211-39i2.2,449866
wdr31,568862
snupn,324743
rbp4l,335651
ltb4r2a,100535026
kif26ab,58004
LOC101885672,101885672
si:ch211-284e13.11,100333052
psmd5,550235
phf10,393628
ifi44a7,100150009
ftr54,799511
ccl38a.4,793030
paf1,553020
pex16,573990
zgc:113265,541498
npsn,404039
LOC101882795,101882795
ccl32b.3,101884043
psmd1,554967
pim2,58054
si:ch211-212k18.15,563681
zgc:194655,794380
stx17,492808
cd40,100270764
si:dkey-27b3.4,103911726
ubfd1,562437
LOC101886348,101886348
si:dkey-16l2.20,100000168
ms4a17a.11,550363
LOC137496851,137496851
dbf4,799015
srsf9,405835
si:ch211-9d9.1,103908620
ogfr2,368398
cxcl18a.1,100321314
ftr79,568850
si:ch211-114l13.9,796649
sympk,570858
si:dkey-78l4.8,100034628
psmd3,393544
nod2,777696
si:busm1-163l24.3,368753
zdhhc24,436596
nub1,557021
pef1,445249
capn15,100330198
xpo7,407710
adssl,192305
ap4e1,570467
gpatch11,436666
nlrc5,100535184
ccl38a.5,563208
ifng1r,553965
LOC137490606,137490606
cct3,192327
sf3b2,570994
LOC110438659,110438659
nampt2,324211
usp11,568334
prdm1c,100150534
igf2bp2b,557028
crfb2,777653
srd5a3,560717
cstf2,386806
eif4a3,394053
tcp1,30477
nup160,393635
mffa,393508
si:ch211-266a5.12,557488
wbp11,402950
yju2,393117
trim35-28,559351
ran,30572
lsm3,100535720
socs1b,100007521
dis3,100003553
psmc1a,336786
acp1,541489
rnf31,100334178
zmp:0000001138,100002901
psmb2,436882
june,767776
LOC558805,558805
anxa11b,353365
nup214,100529857
alad,550338
lrp8,557734
dhx16,336645
ubl7b,393331
cars1,368284
psma1,445033
psma4,326687
atp8a1,767630
dck,474325
ssuh2.4,100038788
med15,406346
lrwd1,327124
psmb1,445413
tdp1,571485
LOC137489472,137489472
mns1,573382
si:ch73-367f21.4,560465
usp39,790924
thoc5,325064
s1pr4,402857
sms,80872
lig4,569525
zgc:110540,541538
prim1,30440
gig2h,101669769
dctd,550332
cks2,561930
psma6b,436862
LOC101883913,101883913
aaas,378454
hdac3,393965
si:ch211-161h7.4,569837
usp38,563778
nol9,567715
sco2,606683
LOC137487245,137487245
cdk7,405897
dpf2l,326933
rabif,436784
prpf4,326944
gig2q,100536988
tut1,564388
cog2,406663
dnajc9,436706
itpa,557834
trmt11,393185
mettl14,404603
mms22l,563411
pole2,192320
rad18,393106
LOC137495811,137495811
brf2,445142
stmn1a,678630
