Treatment,reads_above,reads_below,reads_neutral,pooled_prop_above,pooled_prop_below,pooled_prop_neutral
A- T- P-,28979,91392,249781,0.07828945946530075,0.24690397458341437,0.6748065659512849
A- T- P+,22110,55204,292838,0.059732218115801074,0.14913873219650306,0.7911290496876958
A+ T- P-,25624,68611,214225,0.08307073850742398,0.22243078519094858,0.6944984763016274
A+ T- P+,14890,55697,289283,0.04137605246338956,0.15476977797538,0.8038541695612305
A- T+ P-,12784,35294,219254,0.04782068738497449,0.13202310235961276,0.8201562102554127
A- T+ P+,14404,47620,267000,0.0437779614860922,0.14473108344680025,0.8114909550671076
A+ T+ P-,11257,14643,128330,0.0729883939570771,0.09494261816767166,0.8320689878752513
A+ T+ P+,12381,30441,214228,0.04816572651235168,0.11842443104454387,0.8334098424431045
