Treatment,History_Label,above,below,neutral
A- T- P-,No prior stressors,0.07828945946530073,0.2469039745834144,0.6748065659512849
A- T- P+,No prior stressors,0.059732218115801074,0.14913873219650306,0.7911290496876959
A+ T- P-,One prior stressor,0.08307073850742397,0.22243078519094858,0.6944984763016274
A+ T- P+,One prior stressor,0.04137605246338956,0.15476977797538,0.8038541695612305
A- T+ P-,One prior stressor,0.04782068738497449,0.13202310235961276,0.8201562102554127
A- T+ P+,One prior stressor,0.0437779614860922,0.14473108344680025,0.8114909550671076
A+ T+ P-,Two prior stressors,0.0729883939570771,0.09494261816767166,0.8320689878752512
A+ T+ P+,Two prior stressors,0.04816572651235168,0.11842443104454388,0.8334098424431045
