History_Label,above,below,neutral
No prior stressors,0.06901083879055091,0.19802135338995872,0.7329678078194903
One prior stressor,0.05353265553663123,0.16385252940255526,0.7826148150608135
Two prior stressors,0.05747422680412371,0.10961875121571679,0.8329070219801595
