Treatment,History_Label,mean_prop_above,n,n_with_pair,mean_prop_below
A- T- P-,No prior stressors,0.07968015022264657,36,36,0.9203198497773535
A- T- P+,No prior stressors,0.037012987012987004,36,35,0.962987012987013
A+ T- P-,One prior stressor,0.05906850150823304,30,29,0.9409314984917669
A+ T- P+,One prior stressor,0.05664403312000525,35,33,0.9433559668799948
A- T+ P-,One prior stressor,0.30362758934187506,26,21,0.6963724106581249
A- T+ P+,One prior stressor,0.05290918872686686,32,30,0.9470908112731331
A+ T+ P-,Two prior stressors,0.23848075032892843,15,15,0.7615192496710715
A+ T+ P+,Two prior stressors,0.12009137006679936,25,25,0.8799086299332006
