Treatment,above,below,neutral,n_total,pct_above,pct_neutral,pct_below,History_Label
A- T- P-,153,32,61,246,62.19512195121951,24.796747967479675,13.008130081300813,No prior stressors
A- T- P+,161,31,56,248,64.91935483870968,22.580645161290324,12.5,No prior stressors
A+ T- P-,124,28,50,202,61.386138613861384,24.752475247524753,13.861386138613861,One prior stressor
A+ T- P+,167,32,81,280,59.642857142857146,28.928571428571427,11.428571428571429,One prior stressor
A- T+ P-,137,29,59,225,60.888888888888886,26.22222222222222,12.88888888888889,One prior stressor
A- T+ P+,162,32,79,273,59.34065934065934,28.937728937728938,11.72161172161172,One prior stressor
A+ T+ P-,144,26,55,225,64,24.444444444444443,11.555555555555555,Two prior stressors
A+ T+ P+,148,31,64,243,60.90534979423868,26.337448559670783,12.757201646090534,Two prior stressors
