Treatment,History_Label,mean_prop_above,mean_prop_below,mean_prop_other,n,n_with_culici
A- T- P-,No prior stressors,0.07950025237097771,0.9172921640484877,0.003207583580534569,36,36
A- T- P+,No prior stressors,0.037012987012987004,0.962987012987013,0,36,35
A+ T- P-,One prior stressor,0.05872435307718853,0.9337124401795496,0.007563206743261863,30,29
A+ T- P+,One prior stressor,0.05660554007752145,0.942375176656205,0.001019283266273547,35,33
A- T+ P-,One prior stressor,0.30362758934187506,0.6963724106581249,0,26,21
A- T+ P+,One prior stressor,0.05290918872686686,0.9470908112731331,0,32,30
A+ T+ P-,Two prior stressors,0.23848075032892843,0.7615192496710715,0,15,15
A+ T+ P+,Two prior stressors,0.12009137006679936,0.8788376794646598,0.00107095046854083,25,25
